tech,iron,t_vanguard,Vanguard Boosters,Ships fly [^+50%] faster when targeting neutral or enemy planets
tech,iron,t_vanguard,Vanguard Armor,Ships gain a [^+10] health shield when far from a planet you control
tech,iron,t_vanguard,Warp Drive,Ships gain warp drive: they can teleport forward [^+3] units in open space
tech,iron,t_vanguard,Quantum Weirdness,A [Worker] ship that uses warp drive has a [33% chance] for [^+3] population
tech,iron,t_quantum,Munitions Recycling,"When a [Fighter] deals damage to an enemy ship, gain [^+3] Iron"
tech,iron,t_quantum,Proximity Alert,Planets you control that are near enemy planets produce ships [^+100%] faster
tech,iron,t_quantum,Nanothread Plating,Ships have [^+25%] health
tech,iron,t_quantum,Grey Goo,"Fighter missiles apply Grey Goo on hit, inflicting damage over time to the target."
tech,ice,t_crystal,Crystal Repeater,[Interceptor] missiles bounce to hit a second target
tech,ice,t_crystal,Phasing Lattice,[Bombers] dodge the first 3 attacks that target them
tech,ice,t_crystal,Fragmentation Sequence,"If a [Worker] ship is destroyed, it explodes for [^5] damage. Damage and radius increase with ship population"
tech,ice,t_crystal,Crystal Repeater,"[Interceptors] gain a 10 health shield, and their missiles bounce to [^+1] target"
tech,ice,t_ai,Orbital Targeting Solution,Ships gain [^+66%] attack speed for [10 seconds] after take-off
tech,ice,t_ai,Artificial Intelligence,Population growth rate [^+33%]. Population grows on planets even with [0] population
tech,ice,t_ai,Coordination Protocol,[Interceptors] fire [^+50%] faster near [Bombers]
tech,ice,t_ai,Robotic Assembly,"Whenever you gain control of a planet, [^add] a random tier 1 iron building"
tech,ice,t_proximity,Hostile Takeover,A [Bomber] that helps raze a planet sends out a [Worker] ship to colonize it
tech,ice,t_proximity,Fire Bomb,[Bombers] gain [^+25%] damage and have a [^30%] chance to destroy a random building on hit
tech,ice,t_proximity,Space Mining,Planets you control that are near hazards gain [^+33%] mining rate
tech,ice,t_proximity,Spoils,"When you raze a planet, gain [^1 full upgrade] of its primary resource"
tech,gas,t_optics,Laser Diode,[Battleship] weapon upgrade - rapid laser array replaces missile weapon
tech,gas,t_optics,Fleet Upgrade,"[Battleships] gain [^+67%] health, other ships have [!-33%] health"
tech,gas,t_optics,Auto Focus,"Ships gradually gain attack speed while flying, up to [^+50%] over [60 seconds]"
tech,gas,t_optics,Refractor Shield,Ships in a fleet of [4 or more] gain a [^20] damage shield
tech,gas,t_exotic,Supercritical Materials,Gain [^+200%] resources from asteroids
tech,gas,t_exotic,Transient Field,Ships gain [^+10] health
tech,gas,t_exotic,Jettison,"When you lose a planet, gain [^1 full asset] of the planet's primary resource"
tech,gas,t_exotic,Relativistic Targeting,Ships gain [^+35%] attack range
tech,gas,t_alien,Unknown Artifact,Gain [^+3] re-rolls
tech,gas,t_alien,Alien Thrusters,Ships move [^+33%] faster
tech,gas,t_alien,Kinetic Sling,Ship weapons deal [^+50%] of bonus speed as bonus damage
tech,gas,t_alien,Alien Core Drill,[^+30%] Ice mining and [^+15%] Gas mining
